"accuracy","capturedAt","convergenceStatus","latitude","longitude","planterCheckInId","treeUuid"
32,1601874343282,,-6.659172083036803,37.621043745116275,-1,
16,1601874344063,,-6.659164674160583,37.621018050776755,-1,
16,1601874345079,,-6.659162985766538,37.621018779621565,-1,
6,1601874346079,,-6.659162985766538,37.621018779621565,-1,
6,1601874347076,,-6.659162985766538,37.621018779621565,-1,
6,1601874348405,,-6.659162985766538,37.621018779621565,-1,
6,1601874349437,,-6.659162985766538,37.621018779621565,-1,
4,1601874350453,,-6.659162985766538,37.621018779621565,-1,
4,1601874351454,,-6.659162985766538,37.621018779621565,-1,
8,1601874352453,,-6.659162985766538,37.621018779621565,-1,
6,1601874353455,,-6.659162985766538,37.621018779621565,-1,
6,1601874354451,,-6.659162985766538,37.621018779621565,-1,
6,1601874355451,,-6.659162985766538,37.621018779621565,-1,
6,1601874356456,,-6.659162985766538,37.621018779621565,-1,
4,1601874357456,,-6.659162985766538,37.621018779621565,-1,
4,1601874358456,,-6.659162985766538,37.621018779621565,-1,
4,1601874359448,,-6.659162985766538,37.621018779621565,-1,
4,1601874360451,,-6.659134985036477,37.6209958372106,-1,
4,1601874361451,,-6.659134985036477,37.6209958372106,-1,
4,1601874362449,,-6.659134985036477,37.6209958372106,-1,
4,1601874363453,,-6.659134985036477,37.6209958372106,-1,
4,1601874364451,,-6.659134985036477,37.6209958372106,-1,
4,1601874365451,,-6.659134985036477,37.6209958372106,-1,
4,1601874366458,,-6.659134985036477,37.6209958372106,-1,
4,1601874367454,,-6.659134985036477,37.6209958372106,-1,
4,1601874368460,,-6.659134985036477,37.6209958372106,-1,
4,1601874369456,,-6.659134985036477,37.6209958372106,-1,
4,1601874370484,,-6.659134985036477,37.6209958372106,-1,
4,1601874371617,,-6.659109721084526,37.62096715384551,-1,
4,1601874372442,,-6.659109721084526,37.62096715384551,-1,
4,1601874373444,,-6.659109721084526,37.62096715384551,-1,
4,1601874374439,,-6.659109721084526,37.62096715384551,-1,
4,1601874375444,,-6.659109721084526,37.62096715384551,-1,
4,1601874376439,,-6.659109721084526,37.62096715384551,-1,
4,1601874377440,,-6.659109721084526,37.62096715384551,-1,
4,1601874378439,,-6.659109721084526,37.62096715384551,-1,
4,1601874379468,,-6.659109721084526,37.62096715384551,-1,
4,1601874380445,,-6.659109721084526,37.62096715384551,-1,
4,1601874381442,,-6.659109721084526,37.62096715384551,-1,
4,1601874382447,,-6.659109721084526,37.62096715384551,-1,
4,1601874383443,,-6.659109721084526,37.62096715384551,-1,
4,1601874384452,,-6.659109721084526,37.62096715384551,-1,
4,1601874385445,,-6.659109721084526,37.62096715384551,-1,
4,1601874386442,,-6.659109721084526,37.62096715384551,-1,
4,1601874387443,,-6.659109721084526,37.62096715384551,-1,
4,1601874388442,,-6.659109721084526,37.62096715384551,-1,
4,1601874389454,,-6.659109721084526,37.62096715384551,-1,
4,1601874390442,,-6.659109721084526,37.62096715384551,-1,
4,1601874391446,,-6.659109721084526,37.62096715384551,-1,
4,1601874392445,,-6.659109721084526,37.62096715384551,-1,
6,1601874393442,,-6.659109721084526,37.62096715384551,-1,
6,1601874394442,,-6.659109721084526,37.62096715384551,-1,
6,1601874395443,,-6.659109721084526,37.62096715384551,-1,
6,1601874396444,,-6.659109721084526,37.62096715384551,-1,
4,1601874397446,,-6.659109721084526,37.62096715384551,-1,
4,1601874398446,,-6.659109721084526,37.62096715384551,-1,
4,1601874399447,,-6.659109721084526,37.62096715384551,-1,
4,1601874400445,,-6.659109721084526,37.62096715384551,-1,
6,1601874401448,,-6.659109721084526,37.62096715384551,-1,
6,1601874402444,,-6.659109721084526,37.62096715384551,-1,
6,1601874403445,,-6.659109721084526,37.62096715384551,-1,
6,1601874404446,,-6.659109721084526,37.62096715384551,-1,
4,1601874405479,,-6.659109721084526,37.62096715384551,-1,
4,1601874406442,,-6.659109721084526,37.62096715384551,-1,
4,1601874407441,,-6.659109721084526,37.62096715384551,-1,
6,1601874408442,,-6.659109721084526,37.62096715384551,-1,
6,1601874409445,,-6.659109721084526,37.62096715384551,-1,
6,1601874410442,,-6.659109721084526,37.62096715384551,-1,
6,1601874411442,,-6.659109721084526,37.62096715384551,-1,
4,1601874412446,,-6.659109721084526,37.62096715384551,-1,
4,1601874413444,,-6.659109721084526,37.62096715384551,-1,
4,1601874414483,,-6.659109721084526,37.62096715384551,-1,
4,1601874415459,,-6.659109721084526,37.62096715384551,-1,
4,1601874416478,,-6.659109721084526,37.62096715384551,-1,
6,1601874417444,,-6.659109721084526,37.62096715384551,-1,
6,1601874418448,,-6.659109721084526,37.62096715384551,-1,
6,1601874419447,,-6.659109721084526,37.62096715384551,-1,
12,1601874420455,,-6.659109721084526,37.62096715384551,-1,
12,1601874421453,,-6.659109721084526,37.62096715384551,-1,
6,1601874422446,,-6.659109721084526,37.62096715384551,-1,
6,1601874423451,,-6.659109721084526,37.62096715384551,-1,
6,1601874424456,,-6.659109721084526,37.62096715384551,-1,
6,1601874425451,,-6.659109721084526,37.62096715384551,-1,
6,1601874426454,,-6.659109721084526,37.62096715384551,-1,
4,1601874427445,,-6.659109721084526,37.62096715384551,-1,
4,1601874428454,,-6.659109721084526,37.62096715384551,-1,
6,1601874429450,,-6.659109721084526,37.62096715384551,-1,
6,1601874430452,,-6.659109721084526,37.62096715384551,-1,
12,1601874431459,,-6.659109721084526,37.62096715384551,-1,
4,1601874432456,,-6.659109721084526,37.62096715384551,-1,
4,1601874433445,,-6.659109721084526,37.62096715384551,-1,
6,1601874434451,,-6.659109721084526,37.62096715384551,-1,
6,1601874435450,,-6.659109721084526,37.62096715384551,-1,
6,1601874436455,,-6.659109721084526,37.62096715384551,-1,
4,1601874437456,,-6.659109721084526,37.62096715384551,-1,
4,1601874438453,,-6.659109721084526,37.62096715384551,-1,
4,1601874439452,,-6.659109721084526,37.62096715384551,-1,
4,1601874440474,,-6.659109721084526,37.62096715384551,-1,
4,1601874441459,,-6.659109721084526,37.62096715384551,-1,
4,1601874442457,,-6.659109721084526,37.62096715384551,-1,
6,1601874443455,,-6.659109721084526,37.62096715384551,-1,
6,1601874444456,,-6.659109721084526,37.62096715384551,-1,
6,1601874445456,,-6.659109721084526,37.62096715384551,-1,
6,1601874446454,,-6.659109721084526,37.62096715384551,-1,
6,1601874447451,,-6.659109721084526,37.62096715384551,-1,
4,1601874448450,,-6.659109721084526,37.62096715384551,-1,
4,1601874449463,,-6.659109721084526,37.62096715384551,-1,
4,1601874450448,,-6.659109721084526,37.62096715384551,-1,
4,1601874451459,,-6.659109721084526,37.62096715384551,-1,
4,1601874452463,,-6.659109721084526,37.62096715384551,-1,
4,1601874453454,,-6.659109721084526,37.62096715384551,-1,
4,1601874454455,,-6.659109721084526,37.62096715384551,-1,
4,1601874455453,,-6.659109721084526,37.62096715384551,-1,
6,1601874456449,,-6.659109721084526,37.62096715384551,-1,
6,1601874457450,,-6.659109721084526,37.62096715384551,-1,
6,1601874458450,,-6.659109721084526,37.62096715384551,-1,
6,1601874459458,,-6.659109721084526,37.62096715384551,-1,
6,1601874460467,,-6.659109721084526,37.62096715384551,-1,
6,1601874461462,,-6.659109721084526,37.62096715384551,-1,
6,1601874462456,,-6.659109721084526,37.62096715384551,-1,
6,1601874463448,,-6.659109721084526,37.62096715384551,-1,
4,1601874464455,,-6.659109721084526,37.62096715384551,-1,
6,1601874465453,,-6.659109721084526,37.62096715384551,-1,
4,1601874466451,,-6.659109721084526,37.62096715384551,-1,
4,1601874467465,,-6.659109721084526,37.62096715384551,-1,
