"accuracy","capturedAt","convergenceStatus","latitude","longitude","planterCheckInId","treeUuid"
12.4,1601837622367,,-6.797173333333334,37.63768,-1,
12.6,1601837900396,,-6.7972399999999995,37.63736666666667,-1,
10.3,1601837924897,,-6.797063333333334,37.63624,-1,
7.6,1601838065096,,-6.79655,37.638245,-1,
7.1,1601838147794,,-6.796775,37.63784166666667,-1,
15.8,1601869930321,,-6.797018333333334,37.62820166666667,-1,
12.6,1601869932209,,-6.7970250000000005,37.62818333333333,-1,
10.8,1601869933204,,-6.7969550000000005,37.62801833333333,-1,
9.8,1601869934206,,-6.796928333333334,37.627946666666666,-1,
9.2,1601869935204,,-6.7969333333333335,37.62794333333333,-1,
8.7,1601869936208,,-6.796940000000001,37.62795333333334,-1,
8.4,1601869937208,,-6.796946666666666,37.627965,-1,
8.1,1601869938205,,-6.796948333333334,37.62796166666667,-1,
7.9,1601869939203,,-6.79695,37.627966666666666,-1,
7.7,1601869940201,,-6.79695,37.627975,-1,
7.6,1601869941210,,-6.796946666666666,37.62797833333333,-1,
7.4,1601869942205,,-6.796944999999999,37.62797833333333,-1,
6.2,1601869943209,,-6.797065,37.62826166666667,-1,
5.8,1601869944210,,-6.797086666666667,37.62831833333333,-1,
5.6,1601869945599,,-6.797093333333334,37.628335,-1,
5.5,1601869946216,,-6.7971,37.62835,-1,
5.4,1601869947309,,-6.797098333333334,37.62835333333333,-1,
5.3,1601869948213,,-6.797103333333332,37.628365,-1,
4.9,1601869949220,,-6.797051666666666,37.62825333333333,-1,
4.7,1601869950217,,-6.797036666666666,37.62821833333333,-1,
4.5,1601869951247,,-6.797036666666666,37.628220000000006,-1,
4.4,1601869952241,,-6.797031666666667,37.628215,-1,
4.3,1601869953217,,-6.7970266666666666,37.628205,-1,
4.3,1601869954245,,-6.797030000000001,37.62820833333333,-1,
4.2,1601869955234,,-6.797034999999999,37.628209999999996,-1,
4.1,1601869956231,,-6.797036666666666,37.628211666666665,-1,
4.1,1601869957246,,-6.797038333333334,37.628215,-1,
4,1601869958240,,-6.797033333333333,37.628209999999996,-1,
3.9,1601869959236,,-6.797033333333333,37.628211666666665,-1,
3.9,1601869960623,,-6.797033333333333,37.628211666666665,-1,
3.9,1601869962225,,-6.797031666666667,37.62821333333333,1,
3.9,1601869962464,,-6.797031666666667,37.62821333333333,1,
3.9,1601869963224,,-6.797031666666667,37.62821333333333,1,
3.8,1601869964204,,-6.797031666666667,37.62821333333333,1,
3.8,1601869965205,,-6.797031666666667,37.62821333333333,1,
3.8,1601869966204,,-6.797031666666667,37.62821333333333,1,
3.7,1601869967206,,-6.797031666666667,37.62821333333333,1,
3.7,1601869968290,,-6.797031666666667,37.62821333333333,1,
3.7,1601869969267,,-6.797031666666667,37.62821333333333,1,
6.1,1601870040123,,-6.79714,37.62826333333333,1,
8.2,1601870195351,,-6.797031666666667,37.628164999999996,1,
13.9,1601870864230,,-6.797031666666667,37.628119999999996,1,
8.9,1601871138324,,-6.79721,37.62836,1,
11.6,1601871469018,,-6.797561666666667,37.62811333333333,1,
13.6,1601871574708,,-6.797770000000001,37.62786166666667,1,
13.7,1601871750111,,-6.795179999999999,37.632466666666666,1,
22.1,1601874674586,,-6.659560000000001,37.62110833333334,1,
20.4,1601874675563,,-6.659521666666666,37.62108833333333,1,
20.1,1601874676560,,-6.65942,37.62105666666666,1,
7.5,1601874679573,,-6.659296666666667,37.621181666666665,1,
6.9,1601874681222,"NOT_CONVERGED",-6.65929,37.621175,1,"92de1b1e-d237-45d1-97c3-7f639a2c89e2"
6.7,1601874682220,"NOT_CONVERGED",-6.659288333333334,37.62117833333333,1,"92de1b1e-d237-45d1-97c3-7f639a2c89e2"
6.5,1601874683208,"NOT_CONVERGED",-6.659288333333334,37.62117833333333,1,"92de1b1e-d237-45d1-97c3-7f639a2c89e2"
6.5,1601874684223,"NOT_CONVERGED",-6.659283333333334,37.62117166666667,1,"92de1b1e-d237-45d1-97c3-7f639a2c89e2"
6.4,1601874685213,"CONVERGED",-6.659281666666668,37.621165,1,"92de1b1e-d237-45d1-97c3-7f639a2c89e2"
6.4,1601874686382,"CONVERGED",-6.659276666666667,37.621163333333335,1,"92de1b1e-d237-45d1-97c3-7f639a2c89e2"
6.4,1601874687304,"CONVERGED",-6.659281666666668,37.62117833333333,1,"92de1b1e-d237-45d1-97c3-7f639a2c89e2"
6.4,1601874688230,"CONVERGED",-6.659279999999999,37.621179999999995,1,"92de1b1e-d237-45d1-97c3-7f639a2c89e2"
5.8,1601874728007,,-6.659286666666667,37.62111166666667,1,
4.6,1601874729002,,-6.659278333333333,37.62113333333333,1,
4.3,1601874730209,,-6.659279999999999,37.62114999999999,1,
4,1601874731206,,-6.659281666666668,37.62116,1,
3.9,1601874732202,,-6.659278333333333,37.621163333333335,1,
3.7,1601874733220,"NOT_CONVERGED",-6.659271666666666,37.621158333333334,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.6,1601874734233,"NOT_CONVERGED",-6.659263333333333,37.621155,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.5,1601874735226,"NOT_CONVERGED",-6.659256666666666,37.62115166666667,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.5,1601874736221,"NOT_CONVERGED",-6.659255,37.62114999999999,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.4,1601874737226,"CONVERGED",-6.659255,37.62114333333333,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.4,1601874738219,"CONVERGED",-6.659248333333333,37.62114,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.4,1601874739209,"CONVERGED",-6.6592416666666665,37.62113333333333,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.3,1601874740211,"CONVERGED",-6.659238333333334,37.62113166666666,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.3,1601874741222,"CONVERGED",-6.659234999999999,37.62112833333333,1,"1480b50e-195f-4ac1-8fcf-806f30111c88"
3.3,1601874742401,,-6.659233333333333,37.62112666666667,1,
3.3,1601874743210,,-6.659233333333333,37.62112833333333,1,
3.2,1601874744682,,-6.659234999999999,37.621136666666665,1,
3.2,1601874745206,,-6.659236666666668,37.62114166666667,1,
3.2,1601874746202,,-6.659236666666668,37.62114833333333,1,
3.2,1601874747204,,-6.659236666666668,37.621155,1,
3.2,1601874748222,"NOT_CONVERGED",-6.659230000000001,37.621158333333334,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
3,1601874749221,"NOT_CONVERGED",-6.6592199999999995,37.62116,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
2.5,1601874750227,"NOT_CONVERGED",-6.659221666666667,37.62117166666667,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
2.3,1601874751229,"NOT_CONVERGED",-6.659226666666666,37.62117666666666,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
2.2,1601874752234,"CONVERGED",-6.659228333333334,37.621179999999995,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
2.1,1601874753251,"CONVERGED",-6.659228333333334,37.621183333333335,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
2.1,1601874754209,"CONVERGED",-6.659230000000001,37.62118666666667,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
2,1601874755226,"CONVERGED",-6.659231666666667,37.621185,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
1.9,1601874756213,"CONVERGED",-6.659230000000001,37.62118666666667,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
1.9,1601874757236,"CONVERGED",-6.659228333333334,37.62119,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
1.9,1601874758225,"CONVERGED",-6.659226666666666,37.6212,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
1.9,1601874759235,"CONVERGED",-6.659223333333333,37.6212,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
1.9,1601874760230,"CONVERGED",-6.659221666666667,37.62120166666667,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
1.9,1601874761249,"CONVERGED",-6.659216666666667,37.621203333333334,1,"aa79a2e4-640b-4843-8883-87c3dcb39842"
