"accuracy","capturedAt","convergenceStatus","latitude","longitude","planterCheckInId","treeUuid"
2.9,1601885194299,,-6.795696666666667,37.62771,1,
2.9,1601885195306,,-6.795701666666668,37.62772666666667,1,
2.9,1601885196307,,-6.795706666666666,37.62773166666667,1,
2.9,1601885197314,,-6.795706666666666,37.62773833333333,1,
2.9,1601885198313,,-6.795711666666667,37.627745,1,
2.9,1601885199320,,-6.795711666666667,37.62774833333334,1,
2.9,1601885200306,,-6.795706666666666,37.627743333333335,1,
1.2,1601885201328,,-6.795710000000001,37.62775166666667,1,
1.6,1601885202304,,-6.795706666666666,37.627755,1,
1.8,1601885203313,,-6.795706666666666,37.62775666666666,1,
1.9,1601885204316,,-6.795708333333333,37.62775666666666,1,
2.1,1601885205326,,-6.795710000000001,37.627759999999995,1,
2.2,1601885206319,,-6.795708333333333,37.627761666666665,1,
2.3,1601885207296,,-6.795708333333333,37.627761666666665,1,
2.4,1601885208304,,-6.795711666666667,37.627763333333334,1,
2.5,1601885209472,,-6.795710000000001,37.627759999999995,1,
2.5,1601885210306,,-6.795710000000001,37.62775666666666,1,
2.6,1601885211308,,-6.795710000000001,37.627761666666665,1,
2.7,1601885212305,,-6.795710000000001,37.627761666666665,1,
2.7,1601885213306,,-6.795710000000001,37.627761666666665,1,
2.8,1601885214305,,-6.795710000000001,37.627761666666665,1,
2.8,1601885215308,,-6.795710000000001,37.627761666666665,1,
2.8,1601885216307,,-6.795710000000001,37.627761666666665,1,
2.8,1601885217303,,-6.795710000000001,37.627761666666665,1,
2.8,1601885218294,,-6.795710000000001,37.627761666666665,1,
2.8,1601885219357,,-6.795710000000001,37.627761666666665,1,
2.8,1601885220306,,-6.795710000000001,37.627761666666665,1,
2.8,1601885221303,,-6.7956933333333325,37.627705,1,
2.8,1601885222313,,-6.7956883333333336,37.627695,1,
2.9,1601885223307,,-6.795684999999999,37.62768833333334,1,
2.9,1601885224311,,-6.795678333333332,37.627685,1,
2.9,1601885225308,,-6.795678333333332,37.627685,1,
2.9,1601885226311,,-6.795678333333332,37.627685,1,
3,1601885227309,,-6.795678333333332,37.62768666666667,1,
3,1601885228318,,-6.795671666666667,37.62769166666667,1,
3,1601885229304,,-6.7956666666666665,37.62769,1,
3,1601885230303,,-6.79566,37.627698333333335,1,
3.1,1601885231317,,-6.795661666666666,37.627698333333335,1,
3.1,1601885232305,,-6.795661666666666,37.62770166666667,1,
3.1,1601885233305,,-6.795663333333333,37.627703333333336,1,
3.1,1601885234312,,-6.795661666666666,37.62770166666667,1,
3.1,1601885235309,,-6.795658333333334,37.62770166666667,1,
3,1601885236309,,-6.795658333333334,37.62770166666667,1,
3,1601885237319,,-6.795658333333334,37.62770166666667,1,
3,1601885238305,,-6.795658333333334,37.62770166666667,1,
3,1601885239303,,-6.795651666666667,37.62768166666667,1,
3,1601885240315,,-6.795651666666667,37.627676666666666,1,
3,1601885241309,,-6.795651666666667,37.627671666666664,1,
3,1601885242305,,-6.795654999999999,37.627673333333334,1,
3,1601885243317,,-6.79566,37.627680000000005,1,
3,1601885244312,,-6.795668333333333,37.62769,1,
2.9,1601885245305,,-6.795680000000001,37.62772,1,
2.9,1601885246373,,-6.7956916666666665,37.62774666666667,1,
2.9,1601885247305,,-6.795695,37.62775,1,
2.9,1601885248304,,-6.795699999999999,37.62775333333333,1,
2.9,1601885249331,,-6.795710000000001,37.62777333333334,1,
2.9,1601885250312,,-6.79572,37.62778333333333,1,
2.9,1601885251307,,-6.795728333333333,37.62779333333334,1,
2.9,1601885252324,,-6.795733333333334,37.627795,1,
2.9,1601885253306,,-6.795733333333334,37.62779333333334,1,
2.9,1601885254303,,-6.795728333333333,37.627785,1,
2.8,1601885255296,,-6.795721666666666,37.62778,1,
2.8,1601885256318,,-6.795723333333332,37.62777833333334,1,
2.8,1601885257311,,-6.795728333333333,37.627786666666665,1,
2.8,1601885258340,,-6.795726666666667,37.62778333333333,1,
2.8,1601885259312,,-6.795731666666668,37.627795,1,
2.8,1601885260303,,-6.7957366666666665,37.62780166666666,1,
2.9,1601885261341,,-6.7957383333333325,37.627804999999995,1,
2.9,1601885262325,,-6.7957383333333325,37.627804999999995,1,
