"accuracy","capturedAt","convergenceStatus","latitude","longitude","planterCheckInId","treeUuid"
"4.288","1602111106675","null","47.06806009","-122.93843194","1","null"
"3.216","1602111107558","null","47.06804516","-122.93842724","1","null"
"3.216","1602111108549","null","47.06803822","-122.93842414","1","null"
"3.216","1602111109562","NOT_CONVERGED","47.06803774","-122.93842465","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111110561","NOT_CONVERGED","47.06802936","-122.9384191","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111111551","NOT_CONVERGED","47.06801917","-122.93840432","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111112550","NOT_CONVERGED","47.06802099","-122.93840415","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111113574","CONVERGED","47.06802013","-122.93840089","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111114780","CONVERGED","47.06801851","-122.93839787","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111115539","CONVERGED","47.06801769","-122.93839636","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111116539","CONVERGED","47.06801728","-122.93839561","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111117539","CONVERGED","47.06801771","-122.93839271","1","2804abbc-cca7-4a33-a184-dab1f9eb8446"
"3.216","1602111118532","null","47.06801437","-122.9383872","1","null"
"3.216","1602111119579","null","47.06801321","-122.93838436","1","null"
"3.216","1602111120548","null","47.0680141","-122.93838422","1","null"
"3.216","1602111121534","null","47.06801136","-122.93838304","1","null"
"3.216","1602111122560","null","47.06800252","-122.93838143","1","null"
"3.216","1602111123548","NOT_CONVERGED","47.06799243","-122.9383766","1","39e10c16-a0e6-462b-9856-ca94a11676d5"
"3.216","1602111124558","NOT_CONVERGED","47.06798261","-122.93837329","1","39e10c16-a0e6-462b-9856-ca94a11676d5"
"3.216","1602111125538","NOT_CONVERGED","47.06798314","-122.93837851","1","39e10c16-a0e6-462b-9856-ca94a11676d5"
"3.216","1602111126547","NOT_CONVERGED","47.06798198","-122.9383827","1","39e10c16-a0e6-462b-9856-ca94a11676d5"
"3.216","1602111127555","CONVERGED","47.06798509","-122.9383883","1","39e10c16-a0e6-462b-9856-ca94a11676d5"
"3.216","1602111128528","CONVERGED","47.06798866","-122.93839133","1","39e10c16-a0e6-462b-9856-ca94a11676d5"
"3.216","1602111129534","CONVERGED","47.06799046","-122.93839284","1","39e10c16-a0e6-462b-9856-ca94a11676d5"
"3.216","1602111130622","null","47.06799146","-122.93839358","1","null"
"3.216","1602111131533","null","47.06799207","-122.93839395","1","null"
"3.216","1602111132555","null","47.06799247","-122.93839407","1","null"
"3.216","1602111133551","null","47.06798951","-122.9383964","1","null"
"3.216","1602111134561","null","47.06798093","-122.93839363","1","null"
"3.216","1602111135538","NOT_CONVERGED","47.06797332","-122.93839029","1","5dc1c737-2516-4b45-8df8-2282ad772c71"
"3.216","1602111136545","NOT_CONVERGED","47.06796821","-122.9383876","1","5dc1c737-2516-4b45-8df8-2282ad772c71"
"3.216","1602111137537","NOT_CONVERGED","47.06796597","-122.93838465","1","5dc1c737-2516-4b45-8df8-2282ad772c71"
"3.216","1602111138544","NOT_CONVERGED","47.06796134","-122.93838357","1","5dc1c737-2516-4b45-8df8-2282ad772c71"
"3.216","1602111139552","CONVERGED","47.06795885","-122.93838422","1","5dc1c737-2516-4b45-8df8-2282ad772c71"
"3.216","1602111140548","CONVERGED","47.0679587","-122.93838172","1","5dc1c737-2516-4b45-8df8-2282ad772c71"
"3.216","1602111141543","CONVERGED","47.06795999","-122.93837933","1","5dc1c737-2516-4b45-8df8-2282ad772c71"
"3.216","1602111142546","null","47.06796069","-122.93837805","1","null"
"3.216","1602111143560","null","47.06796109","-122.93837731","1","null"
"3.216","1602111144561","null","47.06796133","-122.93837683","1","null"
"3.216","1602111145572","null","47.06796027","-122.93838084","1","null"
"3.216","1602111146561","NOT_CONVERGED","47.06795536","-122.93838402","1","0bae0598-4f6f-4870-b0e8-76f59deca858"
"3.216","1602111147539","NOT_CONVERGED","47.06794682","-122.93838389","1","0bae0598-4f6f-4870-b0e8-76f59deca858"
"3.216","1602111148533","NOT_CONVERGED","47.06793974","-122.93838457","1","0bae0598-4f6f-4870-b0e8-76f59deca858"
"3.216","1602111149543","NOT_CONVERGED","47.06794369","-122.93837836","1","0bae0598-4f6f-4870-b0e8-76f59deca858"
"3.216","1602111150538","CONVERGED","47.06794265","-122.93837967","1","0bae0598-4f6f-4870-b0e8-76f59deca858"
"3.216","1602111152078","CONVERGED","47.06794785","-122.93837631","1","0bae0598-4f6f-4870-b0e8-76f59deca858"
"3.216","1602111152534","CONVERGED","47.06795058","-122.9383723","1","0bae0598-4f6f-4870-b0e8-76f59deca858"
"3.216","1602111153556","CONVERGED","47.06795195","-122.93837031","1","0bae0598-4f6f-4870-b0e8-76f59deca858"
"3.216","1602111154545","null","47.06795265","-122.93836937","1","null"
"3.216","1602111155560","null","47.067953","-122.93836894","1","null"
"3.216","1602111156553","null","47.0679532","-122.93836872","1","null"
"3.216","1602111157559","null","47.06795331","-122.93836861","1","null"
