,accuracy,capturedAt,convergenceStatus,latitude,longitude,planterCheckInId,treeUuid
14,3.216,1602112154406,CONVERGED,47.06802904,-122.93837795,1,56c0333b-1249-4017-a473-bc2fe10737eb
24,3.216,1602112166407,CONVERGED,47.06799312,-122.93838798,1,b2a62da8-de5f-4649-b07d-941664d1b661
33,3.216,1602112178517,CONVERGED,47.06797137,-122.93837054,1,3f3740b2-f5b4-4ecb-9e1f-9d56443ea3fc
42,3.216,1602112189405,CONVERGED,47.06794323,-122.93836497,1,0dac81aa-cbd5-4433-b4c0-a48875e32eee
51,3.216,1602112201581,CONVERGED,47.06793112,-122.93837459,1,49ec328a-ce12-40b6-a3ca-ed2581ddb30c
59,3.216,1602112212426,CONVERGED,47.06790703,-122.93838305,1,e731bce6-a402-41da-a349-8ee020384b55
69,3.216,1602112224409,CONVERGED,47.06789942,-122.93835239,1,0c50a35b-4111-493b-8bec-064231d628a8
78,3.216,1602112236657,CONVERGED,47.06793429,-122.93835837,1,47b2c10f-eee6-4341-ad76-02d8258c6241
89,3.216,1602112250548,CONVERGED,47.067969399999996,-122.93834671,1,818c06d2-3d5c-4396-8634-5f6e0af622e6
98,3.216,1602112262400,CONVERGED,47.06798545,-122.93833018,1,164159cf-1f16-4858-a2d6-e13ce3f65e7d
107,3.216,1602112274406,CONVERGED,47.06800778,-122.93832927,1,45963a28-112b-4ea8-9eb8-ef700f5d5bc4
116,3.216,1602112286409,CONVERGED,47.06802974,-122.93833268,1,b20218f1-70be-4590-ab18-1f6d66db825d
125,3.216,1602112298404,CONVERGED,47.06803441,-122.93830375,1,1c560d7a-3edb-44ec-901e-d622b07f88ec
135,3.216,1602112311569,CONVERGED,47.06801117,-122.93828969,1,c49ccf25-84c9-4533-9628-f1a8d2aec7a7
144,3.216,1602112323406,CONVERGED,47.06797425,-122.93829553,1,b2c019ca-0621-4021-8548-e5e3940b3639
152,3.216,1602112334409,CONVERGED,47.06795086,-122.9382831,1,b66833d2-b5ee-43ee-86f4-34726cbd74d1
163,3.216,1602112348402,CONVERGED,47.06792263,-122.93829866,1,cb323ade-4aae-49f5-99f4-baa110008549
172,3.216,1602112360411,CONVERGED,47.06788647,-122.93830789,1,66d3c07c-0802-4b46-859e-0a48ba5ebbd7
180,3.216,1602112372405,CONVERGED,47.06789516,-122.93825727,1,3c0b5ffa-606c-4750-a5c5-873d943b6a3e
190,3.216,1602112385406,CONVERGED,47.06793118,-122.93824334,1,c8147fcd-2213-4983-9e8c-2912a34f6e13
198,3.216,1602112397407,CONVERGED,47.06795597,-122.93825272,1,831e11b3-1be6-49a6-9786-227ad68f2383
208,3.216,1602112410489,CONVERGED,47.06797541,-122.938254,1,d8392974-9210-4aa7-b292-3b50ffb635f6
216,3.216,1602112422409,CONVERGED,47.06799435,-122.93826763,1,07f602d0-3346-4848-9f86-98efddb0a66d
226,3.216,1602112435404,CONVERGED,47.06802238,-122.93829621,1,bcdaa8ae-3c7c-4592-9128-79fdb6817085
234,3.216,1602112447411,CONVERGED,47.06801845,-122.93823725,1,c51fbe17-9946-4011-abff-ed22ec89c8d0
244,3.216,1602112460408,CONVERGED,47.06798689,-122.93821651,1,49312fcc-0330-4dc8-bbab-611b5883cd76
253,3.216,1602112473405,CONVERGED,47.06796113,-122.93821492,1,138ce291-e026-47dd-8e68-fe6b60e31112
262,3.216,1602112486410,CONVERGED,47.06792963,-122.93821534,1,fcb17cda-af17-4e34-b74e-28a8d1660599
271,3.216,1602112499426,CONVERGED,47.06790078,-122.93821670000001,1,f4a80d50-68b9-4c6a-9f48-6879f6c886c8
280,3.216,1602112512411,CONVERGED,47.06789178,-122.93822878,1,72afdac7-adb2-465a-bc0a-1908863a7954
289,3.216,1602112525404,CONVERGED,47.06789112,-122.9381767,1,3a31f7e6-7bae-49c9-bf63-f237557cdfc5
297,3.216,1602112537408,CONVERGED,47.06791727,-122.93817584,1,78fc565a-758b-4d0e-a234-495d11ce0b41
307,3.216,1602112551414,CONVERGED,47.067947100000005,-122.93816626,1,a335b76a-b65b-4eb5-8df9-aa14f713c2ed
316,3.216,1602112564421,CONVERGED,47.06797747,-122.93816394,1,5b9a8812-0949-429e-b766-aaa8602abb79
325,3.216,1602112577407,CONVERGED,47.0680031,-122.93817497,1,55d45c17-0bf1-4f88-abe2-db86e4f0cb28
334,3.216,1602112590406,CONVERGED,47.06802147,-122.93819583,1,adbc70c1-1dc0-4035-861b-3fc1d5b4fcf3
