field_1,accuracy,capturedAt,convergenc,latitude,longitude,planterChe,treeUuid,x,y,match
"15",3.216000000000000,1602111674402,CONVERGED,47.068034810000000,-122.938384100000007,"1",03ebc748-662c-41b2-a3c5-93b533f0f9b9,1115825.189130855491385,31992.866751211371593,"2"
"27",3.216000000000000,1602111687407,CONVERGED,47.068012039999999,-122.938366560000006,"1",f859d211-a2ee-4e1e-9017-e1e21a036ee5,1115829.331946477759629,31984.444322859508247,
"39",3.216000000000000,1602111699518,CONVERGED,47.067973780000003,-122.938365719999993,"1",452cc632-047f-47bc-8d8a-6ab68c8f10e8,1115829.159519809298217,31970.487452145149291,
"47",3.216000000000000,1602111708404,CONVERGED,47.067940489999998,-122.938358539999996,"1",e1f29969-738c-47b1-9897-5f5fe7353fcf,1115830.616252901963890,31958.299626954511041,
"57",3.216000000000000,1602111719402,CONVERGED,47.067930490000002,-122.938371259999997,"1",001bf597-2a65-4766-bdef-5252192a70f3,1115827.347369296243414,31954.739930123407248,
"67",3.216000000000000,1602111730432,CONVERGED,47.067898409999998,-122.938387820000003,"1",01ce803e-21bc-49da-a2dd-71221c4e2cf4,1115822.901482359506190,31943.155148311314406,"1"
"77",3.216000000000000,1602111741406,CONVERGED,47.067886350000002,-122.938353160000005,"1",f342ba3e-c09d-4a71-a05d-d9cd532359c3,1115831.416515606455505,31938.521317615726730,
"87",3.216000000000000,1602111752432,CONVERGED,47.067915560000003,-122.938352539999997,"1",ef886e79-9151-4e8e-8ef2-88b30bfee868,1115831.862402205588296,31949.168239877522865,
"98",3.216000000000000,1602111765609,CONVERGED,47.067940510000000,-122.938337579999995,"1",25d4e856-fce4-4e3d-bbdd-dac928aebbff,1115835.838518764358014,31958.164043599786964,
"109",3.216000000000000,1602111777412,CONVERGED,47.067968680000000,-122.938342700000021,"1",f6b86065-72b4-4ed6-a038-1f600578c62a,1115834.843939422396943,31968.470866943043802,
"120",3.216000000000000,1602111789405,CONVERGED,47.067996739999998,-122.938346769999995,"1",601c3584-85da-4045-87c4-75ba5c2dae8d,1115834.109865362290293,31978.730422408050799,
"129",3.216000000000000,1602111800397,CONVERGED,47.068019919999998,-122.938347260000000,"1",26a86383-09cc-4402-aaf2-e32cc2c60fb0,1115834.219042094424367,31987.186128878871386,
"140",3.216000000000000,1602111813409,CONVERGED,47.068033299999996,-122.938307429999995,"1",b33c14c9-bf1d-4096-8839-d953f9df3a66,1115844.275932321324944,31991.793516029098100,
"148",3.216000000000000,1602111823397,CONVERGED,47.067996450000003,-122.938292110000006,"1",928e00da-f3bd-416a-978c-ec9561b85248,1115847.725189934018999,31978.252086182383209,
"157",3.216000000000000,1602111834405,CONVERGED,47.067971460000003,-122.938284089999996,"1",2a009487-48f8-4ee2-abed-c6781e9389e2,1115849.474018333479762,31969.085052735281351,
"169",3.216000000000000,1602111848411,CONVERGED,47.067933859999997,-122.938291039999996,"1",1ac5d993-690f-4eec-84b6-76460b85e832,1115847.367356072179973,31955.421944340363552,
"185",3.216000000000000,1602111865427,CONVERGED,47.067908820000000,-122.938293689999995,"1",19878247-bdb7-4c92-8d5f-09466275e4ef,1115846.457315900828689,31946.309409972607682,
"194",3.216000000000000,1602111876406,CONVERGED,47.067865509999997,-122.938299389999997,"1",8b89b744-885d-4706-88b4-c1ec57f81c6e,1115844.605115734040737,31930.555683984417556,
"203",3.216000000000000,1602111887534,CONVERGED,47.067873290000001,-122.938252770000005,"1",7808cef3-fde2-48fb-8c95-e1c173043742,1115856.297858251258731,31933.074807084300119,
"211",3.216000000000000,1602111897406,CONVERGED,47.067898790000001,-122.938251099999988,"1",66809250-ed1b-42d7-88b5-19a12c893731,1115856.968321352731436,31942.361756577258348,
"221",3.216000000000000,1602111908419,CONVERGED,47.067932480000003,-122.938255749999996,"1",31b9308a-79ed-4aa7-baf9-033a5254ae9a,1115856.145895703462884,31954.678190763876046,
"230",3.216000000000000,1602111919405,CONVERGED,47.067956670000001,-122.938247149999995,"1",a9f724f4-6237-4045-8a77-11a3d5193fc1,1115858.529860054608434,31963.440224208370637,
"239",3.216000000000000,1602111930405,CONVERGED,47.067984160000002,-122.938253669999995,"1",111ce905-0bd6-4509-a04c-2f652213a846,1115857.179683362599462,31973.508633625551738,
"248",3.216000000000000,1602111941526,CONVERGED,47.068023980000000,-122.938268879999995,"1",fca4964e-dbe9-4096-a1d6-051c89e1454f,1115853.787453296128660,31988.132294263010408,
"256",3.216000000000000,1602111951403,CONVERGED,47.068015959999997,-122.938225950000003,"1",1bde9880-e50c-4344-afc1-830f304327d0,1115864.403197548585013,31984.915254832911160,"4"
"267",3.216000000000000,1602111964405,CONVERGED,47.067995809999999,-122.938224000000005,"1",395900a1-13b2-4ff7-af29-54787ab11086,1115864.688011906575412,31977.554457233101857,
"276",3.216000000000000,1602111975412,CONVERGED,47.067970860000003,-122.938218579999997,"1",c8214171-5c52-4c54-b16e-7fd6539134e8,1115865.789472417207435,31968.419733026992617,
"285",3.216000000000000,1602111986410,CONVERGED,47.067956590000001,-122.938217190000003,"1",65c9183c-4083-4741-a4e3-861de4588488,1115865.993425788823515,31963.206838607515238,
"294",3.216000000000000,1602111997412,CONVERGED,47.067928690000002,-122.938205990000000,"1",3adc04b5-8dd3-4931-b798-0915bfb8ffc7,1115868.505514016607776,31952.957027528140316,
"304",3.216000000000000,1602112009406,CONVERGED,47.067881219999997,-122.938202970000006,"1",fb9cba5e-55f4-423e-83b6-06f2ade98b0e,1115868.784374003764242,31935.626958016884601,
"323",3.216000000000000,1602112030402,CONVERGED,47.067876949999999,-122.938188980000007,"1",a2822e72-594f-4d97-a314-8563d4cfe7ac,1115872.227311240741983,31933.974585444095283,"3"
"332",3.216000000000000,1602112041426,CONVERGED,47.067909999999998,-122.938186720000004,"1",29d8b467-3196-42c2-bfbb-0a1f4341e964,1115873.120079420041293,31946.010549817528954,
"340",3.216000000000000,1602112052403,CONVERGED,47.067945250000001,-122.938192959999995,"1",02f0964f-86aa-4487-90dc-e5192fa5a564,1115871.917066488880664,31958.906660086377087,
"348",3.216000000000000,1602112063403,CONVERGED,47.067972490000002,-122.938178649999998,"1",954e3fb4-ec32-40ca-9948-e01221174ae1,1115875.754063076805323,31968.741929261424957,
"358",3.216000000000000,1602112076407,CONVERGED,47.067987760000001,-122.938174329999995,"1",163036c4-86bc-49d6-9eb8-c531fdad7890,1115876.982696248218417,31974.280544418219506,
"366",3.216000000000000,1602112087429,CONVERGED,47.068014789999999,-122.938197889999998,"1",6a7a5b9c-b11f-4451-9d51-3c622249d87d,1115871.382507542846724,31984.297363996582135,
