,accuracy,capturedAt,convergenceStatus,latitude,longitude,planterCheckInId,treeUuid
15,3.216,1602111674402,CONVERGED,47.06803481,-122.93838410000001,1,03ebc748-662c-41b2-a3c5-93b533f0f9b9
27,3.216,1602111687407,CONVERGED,47.06801204,-122.93836656,1,f859d211-a2ee-4e1e-9017-e1e21a036ee5
39,3.216,1602111699518,CONVERGED,47.06797378,-122.93836572,1,452cc632-047f-47bc-8d8a-6ab68c8f10e8
47,3.216,1602111708404,CONVERGED,47.06794049,-122.93835854,1,e1f29969-738c-47b1-9897-5f5fe7353fcf
57,3.216,1602111719402,CONVERGED,47.06793049,-122.93837126,1,001bf597-2a65-4766-bdef-5252192a70f3
67,3.216,1602111730432,CONVERGED,47.06789841,-122.93838782,1,01ce803e-21bc-49da-a2dd-71221c4e2cf4
77,3.216,1602111741406,CONVERGED,47.06788635,-122.93835316,1,f342ba3e-c09d-4a71-a05d-d9cd532359c3
87,3.216,1602111752432,CONVERGED,47.06791556,-122.93835254,1,ef886e79-9151-4e8e-8ef2-88b30bfee868
98,3.216,1602111765609,CONVERGED,47.06794051,-122.93833758,1,25d4e856-fce4-4e3d-bbdd-dac928aebbff
109,3.216,1602111777412,CONVERGED,47.06796868,-122.93834270000002,1,f6b86065-72b4-4ed6-a038-1f600578c62a
120,3.216,1602111789405,CONVERGED,47.06799674,-122.93834677,1,601c3584-85da-4045-87c4-75ba5c2dae8d
129,3.216,1602111800397,CONVERGED,47.06801992,-122.93834726,1,26a86383-09cc-4402-aaf2-e32cc2c60fb0
140,3.216,1602111813409,CONVERGED,47.068033299999996,-122.93830743,1,b33c14c9-bf1d-4096-8839-d953f9df3a66
148,3.216,1602111823397,CONVERGED,47.06799645,-122.93829211,1,928e00da-f3bd-416a-978c-ec9561b85248
157,3.216,1602111834405,CONVERGED,47.06797146,-122.93828409,1,2a009487-48f8-4ee2-abed-c6781e9389e2
169,3.216,1602111848411,CONVERGED,47.06793386,-122.93829104,1,1ac5d993-690f-4eec-84b6-76460b85e832
185,3.216,1602111865427,CONVERGED,47.06790882,-122.93829369,1,19878247-bdb7-4c92-8d5f-09466275e4ef
194,3.216,1602111876406,CONVERGED,47.06786551,-122.93829939,1,8b89b744-885d-4706-88b4-c1ec57f81c6e
203,3.216,1602111887534,CONVERGED,47.06787329,-122.93825277,1,7808cef3-fde2-48fb-8c95-e1c173043742
211,3.216,1602111897406,CONVERGED,47.06789879,-122.93825109999999,1,66809250-ed1b-42d7-88b5-19a12c893731
221,3.216,1602111908419,CONVERGED,47.06793248,-122.93825575,1,31b9308a-79ed-4aa7-baf9-033a5254ae9a
230,3.216,1602111919405,CONVERGED,47.06795667,-122.93824715,1,a9f724f4-6237-4045-8a77-11a3d5193fc1
239,3.216,1602111930405,CONVERGED,47.06798416,-122.93825367,1,111ce905-0bd6-4509-a04c-2f652213a846
248,3.216,1602111941526,CONVERGED,47.06802398,-122.93826888,1,fca4964e-dbe9-4096-a1d6-051c89e1454f
256,3.216,1602111951403,CONVERGED,47.06801596,-122.93822595,1,1bde9880-e50c-4344-afc1-830f304327d0
267,3.216,1602111964405,CONVERGED,47.06799581,-122.938224,1,395900a1-13b2-4ff7-af29-54787ab11086
276,3.216,1602111975412,CONVERGED,47.06797086,-122.93821858,1,c8214171-5c52-4c54-b16e-7fd6539134e8
285,3.216,1602111986410,CONVERGED,47.06795659,-122.93821719,1,65c9183c-4083-4741-a4e3-861de4588488
294,3.216,1602111997412,CONVERGED,47.06792869,-122.93820599,1,3adc04b5-8dd3-4931-b798-0915bfb8ffc7
304,3.216,1602112009406,CONVERGED,47.06788122,-122.93820297,1,fb9cba5e-55f4-423e-83b6-06f2ade98b0e
323,3.216,1602112030402,CONVERGED,47.06787695,-122.93818898,1,a2822e72-594f-4d97-a314-8563d4cfe7ac
332,3.216,1602112041426,CONVERGED,47.06791,-122.93818672,1,29d8b467-3196-42c2-bfbb-0a1f4341e964
340,3.216,1602112052403,CONVERGED,47.06794525,-122.93819296,1,02f0964f-86aa-4487-90dc-e5192fa5a564
348,3.216,1602112063403,CONVERGED,47.06797249,-122.93817865,1,954e3fb4-ec32-40ca-9948-e01221174ae1
358,3.216,1602112076407,CONVERGED,47.06798776,-122.93817433,1,163036c4-86bc-49d6-9eb8-c531fdad7890
366,3.216,1602112087429,CONVERGED,47.06801479,-122.93819789,1,6a7a5b9c-b11f-4451-9d51-3c622249d87d
