,accuracy,capturedAt,convergenceStatus,latitude,longitude,planterCheckInId,treeUuid
435,6,1601874783087,CONVERGED,-6.6590671032687805,37.62165509433815,1,27ea4ac3-fd94-4880-90de-0ac79a37f063
452,16,1601874799750,CONVERGED,-6.659076727280746,37.62169696403829,1,cf9c1f97-5920-4caa-9eed-eab43e29e9f0
470,6,1601874817565,CONVERGED,-6.659055243447393,37.62173397944967,1,ce1aff98-b0f8-4f37-b36c-53174a321cad
492,6,1601874839815,CONVERGED,-6.659051602864853,37.62180851928429,1,b4f361a2-dc68-47cd-b268-c4e558a3b9f5
509,8,1601874856584,CONVERGED,-6.659029026643357,37.621798612136324,1,f6898b74-7828-4ea5-99a8-57733161b43c
521,12,1601874869423,CONVERGED,-6.659027776766275,37.621847336050685,1,46bb81c6-2d6c-45d8-8da5-0eed2c97beb1
534,12,1601874883920,CONVERGED,-6.659025120613487,37.621868453153,1,2ac9af11-4da3-42ad-9008-484f1af7bd60
548,6,1601874898641,CONVERGED,-6.659010243245978,37.621886419779145,1,07e72ee4-2c0a-4a54-81b8-c9db367e630e
561,8,1601874913414,CONVERGED,-6.658986874969621,37.62194019947394,1,343ef17d-20dd-4402-8469-0178350d0fb7
574,6,1601874928717,CONVERGED,-6.659015786822122,37.62193949049573,1,4afb5551-90a9-42bc-8676-33ca9f5191e9
586,8,1601874942924,CONVERGED,-6.6590220586568725,37.62195042627656,1,370c6b3b-2e1f-49cf-a78a-d22deae794a5
596,8,1601874955409,CONVERGED,-6.658986339155227,37.62198080034371,1,4adaeaea-b94f-4d8b-9fc8-fcf88805d546
614,6,1601874977405,CONVERGED,-6.6589701464646955,37.62205655122443,1,1151d9d0-c3de-444c-a0fc-2ed5dc0221ef
627,6,1601874993873,CONVERGED,-6.658968062293148,37.62208159701229,1,00ce6add-535f-4e14-9fd2-051a45ea939d
648,6,1601875019959,CONVERGED,-6.658934014037597,37.62219729635285,1,b166fe78-bf40-447e-8dae-e97aa893f5fc
660,6,1601875036375,CONVERGED,-6.6589388193532075,37.62225011037373,1,39bdccd8-12a3-43e5-b98e-850d6b807df4
673,12,1601875054049,CONVERGED,-6.658917748999847,37.62224185816482,1,dd4d290c-3eee-4a8d-8d69-015eb0a95b35
685,8,1601875071579,CONVERGED,-6.6588770134349415,37.622282280977174,1,3d8ca580-ddae-454e-aa17-3df0a318a172
697,8,1601875090063,CONVERGED,-6.658883864219452,37.622348009568,1,093cf576-2d98-457a-bb11-a96088a575ab
709,8,1601875108157,CONVERGED,-6.658903423353609,37.62232681359391,1,fa8cc7a0-2a22-4a8b-8950-4ef4fe328970
722,12,1601875127328,CONVERGED,-6.658893043099733,37.6224077838922,1,b651e190-8953-425d-b1a8-d91dd51618ba
734,6,1601875145210,CONVERGED,-6.658900374663753,37.6223959498845,1,4d3f550a-82a0-4b45-88da-1b0a1c325476
751,8,1601875168628,CONVERGED,-6.658858611252363,37.622475071475506,1,a676f908-5fa5-4832-bcb2-e09cee8a6597
771,12,1601875189098,CONVERGED,-6.658818328064273,37.62256002486542,1,b2c9a578-9550-4e22-9a8e-bdf4cdb38087
786,6,1601875204870,CONVERGED,-6.658860152164624,37.62256822645615,1,2ee037fd-6c0d-4466-a1cf-6c885f4ee3da
799,8,1601875219015,CONVERGED,-6.658860049909867,37.622615075056956,1,a67b4973-cd1b-45bb-87cc-77bc6db742d4
823,4,1601875244114,CONVERGED,-6.6588366222741175,37.622631157500415,1,b0a68665-c91e-4660-bda6-943581fbb9c7
840,12,1601875262003,CONVERGED,-6.658813709646224,37.62267393810407,1,7a000b5e-76f5-460b-9e71-5ce8a066732d
854,8,1601875278547,CONVERGED,-6.658802635270419,37.622681095130275,1,142ac21e-09c7-49fd-8675-dbba84ac9846
868,8,1601875295144,CONVERGED,-6.658803834627228,37.62271215208694,1,fac009f4-1a9d-4e24-9dda-e8f081c0c3ba
886,4,1601875315432,CONVERGED,-6.658801116481112,37.62273006625214,1,4fdbc2e7-246e-4c86-9fb3-ddd69b865c82
